Country_ID ,Country_Name                   ,Region      ,Status
       141 ,Palau                          ,Asia        ,F
       142 ,Panama                         ,Americas    ,F
       143 ,Papua New Guinea               ,Asia        ,PF
       144 ,Paraguay                       ,Americas    ,PF
       145 ,Peru                           ,Americas    ,PF
       146 ,Philippines                    ,Asia        ,PF
       147 ,Poland                         ,Europe      ,F
       148 ,Portugal                       ,Europe      ,F
       149 ,Qatar                          ,Middle East ,NF
       150 ,Romania                        ,Europe      ,F
       151 ,Russia                         ,Eurasia     ,NF
       152 ,Rwanda                         ,Africa      ,NF
       153 ,Samoa                          ,Asia        ,F
       154 ,San Marino                     ,Europe      ,F
       155 ,Sao Tome and Principe          ,Africa      ,F
       156 ,Saudi Arabia                   ,Middle East ,NF
       157 ,Senegal                        ,Africa      ,PF
       158 ,Serbia                         ,Europe      ,PF
       159 ,Seychelles                     ,Africa      ,F
       160 ,Sierra Leone                   ,Africa      ,PF
       161 ,Singapore                      ,Asia        ,PF
       162 ,Slovakia                       ,Europe      ,F
       163 ,Slovenia                       ,Europe      ,F
       164 ,Solomon Islands                ,Asia        ,F
       165 ,Somalia                        ,Africa      ,NF
       166 ,Somaliland                     ,Africa      ,PF
       167 ,South Africa                   ,Africa      ,F
       168 ,South Korea                    ,Asia        ,F
       169 ,South Ossetia                  ,Eurasia     ,NF
       170 ,South Sudan                    ,Africa      ,NF
       171 ,Spain                          ,Europe      ,F
       172 ,Sri Lanka                      ,Asia        ,PF
       173 ,St. Kitts and Nevis            ,Americas    ,F
       174 ,St. Lucia                      ,Americas    ,F
       175 ,St. Vincent and the Grenadines ,Americas    ,F
       176 ,Sudan                          ,Africa      ,NF
       177 ,Suriname                       ,Americas    ,F
       178 ,Sweden                         ,Europe      ,F
       179 ,Switzerland                    ,Europe      ,F
       180 ,Syria                          ,Middle East ,NF
       181 ,Taiwan                         ,Asia        ,F
       182 ,Tajikistan                     ,Eurasia     ,NF
       183 ,Tanzania                       ,Africa      ,PF
       184 ,Thailand                       ,Asia        ,PF
       185 ,The Gambia                     ,Africa      ,PF
       186 ,Tibet                          ,Asia        ,NF
       187 ,Timor-Leste                    ,Asia        ,F
       188 ,Togo                           ,Africa      ,PF
       189 ,Tonga                          ,Asia        ,F
       190 ,Transnistria                   ,Eurasia     ,NF
       191 ,Trinidad and Tobago            ,Americas    ,F
       192 ,Tunisia                        ,Africa      ,PF
       193 ,Turkey                         ,Europe      ,NF
       194 ,Turkmenistan                   ,Eurasia     ,NF
       195 ,Tuvalu                         ,Asia        ,F
       196 ,Uganda                         ,Africa      ,NF
       197 ,Ukraine                        ,Eurasia     ,PF
       198 ,United Arab Emirates           ,Middle East ,NF
       199 ,United Kingdom                 ,Europe      ,F
       200 ,United States                  ,Americas    ,F
       201 ,Uruguay                        ,Americas    ,F
       202 ,Uzbekistan                     ,Eurasia     ,NF
       203 ,Vanuatu                        ,Asia        ,F
       204 ,Venezuela                      ,Americas    ,NF
       205 ,Vietnam                        ,Asia        ,NF
       206 ,West Bank                      ,Middle East ,NF
       207 ,Western Sahara                 ,Africa      ,NF
       208 ,Yemen                          ,Middle East ,NF
       209 ,Zambia                         ,Africa      ,PF
       210 ,Zimbabwe                       ,Africa      ,NF
       211 ,Puerto Rico                    ,Americas    ,F
