Rating_ID ,Country_ID ,Year ,PR_Rating ,CL_Rating ,Total_Score
      103 ,         9 ,2018 ,        5 ,        4 ,45
      104 ,         9 ,2017 ,        5 ,        4 ,45
      105 ,         9 ,2016 ,        5 ,        4 ,46
      106 ,         9 ,2015 ,        5 ,        4 ,46
      107 ,         9 ,2014 ,        5 ,        4 ,43
      108 ,         9 ,2013 ,        5 ,        4 ,42
      109 ,        10 ,2024 ,        1 ,        1 ,95
      110 ,        10 ,2023 ,        1 ,        1 ,95
      111 ,        10 ,2022 ,        1 ,        1 ,95
      112 ,        10 ,2021 ,        1 ,        1 ,97
      113 ,        10 ,2020 ,        1 ,        1 ,97
      114 ,        10 ,2019 ,        1 ,        1 ,98
      115 ,        10 ,2018 ,        1 ,        1 ,98
      116 ,        10 ,2017 ,        1 ,        1 ,98
      117 ,        10 ,2016 ,        1 ,        1 ,98
      118 ,        10 ,2015 ,        1 ,        1 ,97
      119 ,        10 ,2014 ,        1 ,        1 ,97
      120 ,        10 ,2013 ,        1 ,        1 ,97
      121 ,        11 ,2024 ,        1 ,        1 ,93
      122 ,        11 ,2023 ,        1 ,        1 ,93
      123 ,        11 ,2022 ,        1 ,        1 ,93
      124 ,        11 ,2021 ,        1 ,        1 ,93
      125 ,        11 ,2020 ,        1 ,        1 ,93
      126 ,        11 ,2019 ,        1 ,        1 ,93
      127 ,        11 ,2018 ,        1 ,        1 ,94
      128 ,        11 ,2017 ,        1 ,        1 ,95
      129 ,        11 ,2016 ,        1 ,        1 ,95
      130 ,        11 ,2015 ,        1 ,        1 ,96
      131 ,        11 ,2014 ,        1 ,        1 ,96
      132 ,        11 ,2013 ,        1 ,        1 ,96
      133 ,        12 ,2024 ,        7 ,        7 ,7
      134 ,        12 ,2023 ,        7 ,        7 ,9
      135 ,        12 ,2022 ,        7 ,        7 ,9
      136 ,        12 ,2021 ,        7 ,        6 ,10
      137 ,        12 ,2020 ,        7 ,        6 ,10
      138 ,        12 ,2019 ,        7 ,        6 ,11
      139 ,        12 ,2018 ,        7 ,        6 ,12
      140 ,        12 ,2017 ,        7 ,        6 ,14
      141 ,        12 ,2016 ,        7 ,        6 ,16
      142 ,        12 ,2015 ,        6 ,        6 ,20
      143 ,        12 ,2014 ,        6 ,        6 ,22
      144 ,        12 ,2013 ,        6 ,        5 ,23
      145 ,        13 ,2024 ,        1 ,        1 ,91
      146 ,        13 ,2023 ,        1 ,        1 ,91
      147 ,        13 ,2022 ,        1 ,        1 ,91
      148 ,        13 ,2021 ,        1 ,        1 ,91
      149 ,        13 ,2020 ,        1 ,        1 ,91
      150 ,        13 ,2019 ,        1 ,        1 ,91
      151 ,        13 ,2018 ,        1 ,        1 ,91
      152 ,        13 ,2017 ,        1 ,        1 ,91
      153 ,        13 ,2016 ,        1 ,        1 ,92
      154 ,        13 ,2015 ,        1 ,        1 ,96
      155 ,        13 ,2014 ,        1 ,        1 ,96
      156 ,        13 ,2013 ,        1 ,        1 ,96
      157 ,        14 ,2024 ,        7 ,        6 ,12
      158 ,        14 ,2023 ,        7 ,        6 ,12
      159 ,        14 ,2022 ,        7 ,        6 ,12
      160 ,        14 ,2021 ,        7 ,        6 ,12
      161 ,        14 ,2020 ,        7 ,        6 ,11
      162 ,        14 ,2019 ,        7 ,        6 ,12
      163 ,        14 ,2018 ,        7 ,        6 ,12
      164 ,        14 ,2017 ,        7 ,        6 ,12
      165 ,        14 ,2016 ,        7 ,        6 ,14
      166 ,        14 ,2015 ,        7 ,        6 ,15
      167 ,        14 ,2014 ,        6 ,        6 ,16
      168 ,        14 ,2013 ,        6 ,        6 ,18
      169 ,        15 ,2024 ,        5 ,        5 ,40
      170 ,        15 ,2023 ,        5 ,        5 ,40
      171 ,        15 ,2022 ,        5 ,        5 ,39
      172 ,        15 ,2021 ,        5 ,        5 ,39
      173 ,        15 ,2020 ,        5 ,        5 ,39
      174 ,        15 ,2019 ,        5 ,        5 ,41
      175 ,        15 ,2018 ,        4 ,        4 ,45
      176 ,        15 ,2017 ,        4 ,        4 ,47
      177 ,        15 ,2016 ,        4 ,        4 ,49
      178 ,        15 ,2015 ,        4 ,        4 ,50
      179 ,        15 ,2014 ,        3 ,        4 ,53
      180 ,        15 ,2013 ,        3 ,        4 ,56
      181 ,        16 ,2024 ,        1 ,        1 ,94
      182 ,        16 ,2023 ,        1 ,        1 ,94
      183 ,        16 ,2022 ,        1 ,        1 ,95
      184 ,        16 ,2021 ,        1 ,        1 ,95
      185 ,        16 ,2020 ,        1 ,        1 ,95
      186 ,        16 ,2019 ,        1 ,        1 ,96
      187 ,        16 ,2018 ,        1 ,        1 ,96
      188 ,        16 ,2017 ,        1 ,        1 ,98
      189 ,        16 ,2016 ,        1 ,        1 ,98
      190 ,        16 ,2015 ,        1 ,        1 ,99
      191 ,        16 ,2014 ,        1 ,        1 ,99
      192 ,        16 ,2013 ,        1 ,        1 ,99
      193 ,        17 ,2024 ,        7 ,        7 ,8
      194 ,        17 ,2023 ,        7 ,        7 ,8
      195 ,        17 ,2022 ,        7 ,        7 ,8
      196 ,        17 ,2021 ,        7 ,        6 ,11
      197 ,        17 ,2020 ,        7 ,        6 ,19
      198 ,        17 ,2019 ,        7 ,        6 ,19
      199 ,        17 ,2018 ,        6 ,        6 ,21
      200 ,        17 ,2017 ,        7 ,        6 ,20
      201 ,        17 ,2016 ,        7 ,        6 ,17
      202 ,        17 ,2015 ,        7 ,        6 ,14
      203 ,        17 ,2014 ,        7 ,        6 ,14
      204 ,        17 ,2013 ,        7 ,        6 ,14
      205 ,        18 ,2024 ,        1 ,        1 ,96
      206 ,        18 ,2023 ,        1 ,        1 ,96
      207 ,        18 ,2022 ,        1 ,        1 ,96
      208 ,        18 ,2021 ,        1 ,        1 ,96
      209 ,        18 ,2020 ,        1 ,        1 ,96
      210 ,        18 ,2019 ,        1 ,        1 ,96
      211 ,        18 ,2018 ,        1 ,        1 ,95
      212 ,        18 ,2017 ,        1 ,        1 ,95
      213 ,        18 ,2016 ,        1 ,        1 ,96
      214 ,        18 ,2015 ,        1 ,        1 ,97
      215 ,        18 ,2014 ,        1 ,        1 ,97
      216 ,        18 ,2013 ,        1 ,        1 ,97
      217 ,        19 ,2024 ,        2 ,        1 ,87
      218 ,        19 ,2023 ,        2 ,        1 ,87
      219 ,        19 ,2022 ,        2 ,        1 ,87
      220 ,        19 ,2021 ,        2 ,        1 ,87
      221 ,        19 ,2020 ,        2 ,        2 ,86
      222 ,        19 ,2019 ,        1 ,        2 ,86
      223 ,        19 ,2018 ,        1 ,        2 ,86
      224 ,        19 ,2017 ,        1 ,        2 ,87
      225 ,        19 ,2016 ,        1 ,        2 ,87
      226 ,        19 ,2015 ,        1 ,        2 ,87
      227 ,        19 ,2014 ,        1 ,        2 ,87
      228 ,        19 ,2013 ,        1 ,        2 ,88
      229 ,        20 ,2024 ,        4 ,        3 ,61
      230 ,        20 ,2023 ,        5 ,        3 ,59
      231 ,        20 ,2022 ,        5 ,        3 ,59
      232 ,        20 ,2021 ,        4 ,        2 ,65
      233 ,        20 ,2020 ,        4 ,        2 ,66
      234 ,        20 ,2019 ,        2 ,        2 ,79
      235 ,        20 ,2018 ,        2 ,        2 ,82
      236 ,        20 ,2017 ,        2 ,        2 ,82
      237 ,        20 ,2016 ,        2 ,        2 ,82
      238 ,        20 ,2015 ,        2 ,        2 ,81
      239 ,        20 ,2014 ,        2 ,        2 ,80
      240 ,        20 ,2013 ,        2 ,        2 ,82
      241 ,        21 ,2024 ,        2 ,        4 ,63
      242 ,        21 ,2023 ,        3 ,        4 ,61
      243 ,        21 ,2022 ,        3 ,        4 ,61
      244 ,        21 ,2021 ,        2 ,        4 ,61
      245 ,        21 ,2020 ,        3 ,        4 ,59
      246 ,        21 ,2019 ,        3 ,        4 ,59
      247 ,        21 ,2018 ,        3 ,        4 ,55
      248 ,        21 ,2017 ,        3 ,        4 ,55
      249 ,        21 ,2016 ,        3 ,        4 ,56
      250 ,        21 ,2015 ,        3 ,        4 ,56
      251 ,        21 ,2014 ,        3 ,        4 ,55
      252 ,        21 ,2013 ,        4 ,        5 ,46
      253 ,        22 ,2024 ,        3 ,        3 ,66
      254 ,        22 ,2023 ,        3 ,        3 ,66
      255 ,        22 ,2022 ,        3 ,        3 ,66
      256 ,        22 ,2021 ,        3 ,        3 ,66
      257 ,        22 ,2020 ,        3 ,        3 ,63
      258 ,        22 ,2019 ,        3 ,        3 ,67
      259 ,        22 ,2018 ,        3 ,        3 ,67
      260 ,        22 ,2017 ,        3 ,        3 ,68
      261 ,        22 ,2016 ,        3 ,        3 ,68
      262 ,        22 ,2015 ,        3 ,        3 ,68
      263 ,        22 ,2014 ,        3 ,        3 ,67
      264 ,        22 ,2013 ,        3 ,        3 ,69
      265 ,        23 ,2024 ,        5 ,        4 ,51
      266 ,        23 ,2023 ,        4 ,        4 ,52
      267 ,        23 ,2022 ,        4 ,        4 ,53
      268 ,        23 ,2021 ,        4 ,        4 ,53
      269 ,        23 ,2020 ,        4 ,        4 ,53
      270 ,        23 ,2019 ,        4 ,        4 ,53
      271 ,        23 ,2018 ,        4 ,        4 ,55
      272 ,        23 ,2017 ,        4 ,        4 ,55
      273 ,        23 ,2016 ,        4 ,        3 ,57
      274 ,        23 ,2015 ,        4 ,        3 ,60
      275 ,        23 ,2014 ,        3 ,        3 ,61
      276 ,        23 ,2013 ,        3 ,        3 ,62
      277 ,        24 ,2024 ,        3 ,        2 ,72
      278 ,        24 ,2023 ,        3 ,        2 ,72
      279 ,        24 ,2022 ,        3 ,        2 ,72
      280 ,        24 ,2021 ,        3 ,        2 ,72
      281 ,        24 ,2020 ,        3 ,        2 ,72
      282 ,        24 ,2019 ,        3 ,        2 ,72
      283 ,        24 ,2018 ,        3 ,        2 ,72
      284 ,        24 ,2017 ,        3 ,        2 ,72
      285 ,        24 ,2016 ,        3 ,        2 ,73
      286 ,        24 ,2015 ,        3 ,        2 ,73
      287 ,        24 ,2014 ,        3 ,        2 ,74
      288 ,        24 ,2013 ,        3 ,        2 ,74
      289 ,        25 ,2024 ,        2 ,        3 ,72
      290 ,        25 ,2023 ,        2 ,        3 ,72
      291 ,        25 ,2022 ,        2 ,        3 ,73
      292 ,        25 ,2021 ,        2 ,        3 ,74
      293 ,        25 ,2020 ,        2 ,        2 ,75
      294 ,        25 ,2019 ,        2 ,        2 ,75
      295 ,        25 ,2018 ,        2 ,        2 ,78
      296 ,        25 ,2017 ,        2 ,        2 ,79
      297 ,        25 ,2016 ,        2 ,        2 ,81
      298 ,        25 ,2015 ,        2 ,        2 ,81
      299 ,        25 ,2014 ,        2 ,        2 ,81
      300 ,        25 ,2013 ,        2 ,        2 ,81
      301 ,        26 ,2024 ,        6 ,        5 ,28
      302 ,        26 ,2023 ,        6 ,        5 ,28
      303 ,        26 ,2022 ,        6 ,        5 ,28
      304 ,        26 ,2021 ,        6 ,        5 ,28
      305 ,        26 ,2020 ,        6 ,        5 ,28
      306 ,        26 ,2019 ,        6 ,        5 ,29
      307 ,        26 ,2018 ,        6 ,        5 ,28
      308 ,        26 ,2017 ,        6 ,        5 ,29
      309 ,        26 ,2016 ,        6 ,        5 ,29
      310 ,        26 ,2015 ,        6 ,        5 ,30
      311 ,        26 ,2014 ,        6 ,        5 ,30
      312 ,        26 ,2013 ,        6 ,        5 ,30
      313 ,        27 ,2024 ,        2 ,        2 ,78
      314 ,        27 ,2023 ,        2 ,        2 ,79
      315 ,        27 ,2022 ,        2 ,        2 ,79
      316 ,        27 ,2021 ,        2 ,        2 ,78
      317 ,        27 ,2020 ,        2 ,        2 ,80
      318 ,        27 ,2019 ,        2 ,        2 ,80
      319 ,        27 ,2018 ,        2 ,        2 ,80
      320 ,        27 ,2017 ,        2 ,        2 ,80
      321 ,        27 ,2016 ,        2 ,        2 ,80
      322 ,        27 ,2015 ,        2 ,        2 ,79
      323 ,        27 ,2014 ,        2 ,        2 ,78
      324 ,        27 ,2013 ,        2 ,        2 ,81
      325 ,        28 ,2024 ,        7 ,        5 ,27
      326 ,        28 ,2023 ,        7 ,        4 ,30
      327 ,        28 ,2022 ,        4 ,        4 ,53
      328 ,        28 ,2021 ,        4 ,        4 ,54
      329 ,        28 ,2020 ,        4 ,        4 ,56
      330 ,        28 ,2019 ,        4 ,        3 ,60
      331 ,        28 ,2018 ,        4 ,        3 ,60
      332 ,        28 ,2017 ,        4 ,        3 ,63
      333 ,        28 ,2016 ,        4 ,        3 ,59
      334 ,        28 ,2015 ,        6 ,        3 ,45
      335 ,        28 ,2014 ,        5 ,        3 ,53
      336 ,        28 ,2013 ,        5 ,        3 ,53
      337 ,        29 ,2024 ,        7 ,        6 ,14
      338 ,        29 ,2023 ,        7 ,        6 ,14
      339 ,        29 ,2022 ,        7 ,        6 ,14
      340 ,        29 ,2021 ,        7 ,        6 ,14
      341 ,        29 ,2020 ,        7 ,        6 ,13
      342 ,        29 ,2019 ,        7 ,        6 ,14
      343 ,        29 ,2018 ,        7 ,        6 ,18
      344 ,        29 ,2017 ,        7 ,        6 ,19
      345 ,        29 ,2016 ,        7 ,        6 ,19
      346 ,        29 ,2015 ,        6 ,        5 ,32
      347 ,        29 ,2014 ,        5 ,        5 ,34
      348 ,        29 ,2013 ,        5 ,        5 ,34
      349 ,        30 ,2024 ,        1 ,        1 ,92
      350 ,        30 ,2023 ,        1 ,        1 ,92
      351 ,        30 ,2022 ,        1 ,        1 ,92
      352 ,        30 ,2021 ,        1 ,        1 ,92
      353 ,        30 ,2020 ,        1 ,        1 ,92
      354 ,        30 ,2019 ,        1 ,        1 ,90
      355 ,        30 ,2018 ,        1 ,        1 ,90
      356 ,        30 ,2017 ,        1 ,        1 ,90
      357 ,        30 ,2016 ,        1 ,        1 ,90
      358 ,        30 ,2015 ,        1 ,        1 ,90
      359 ,        30 ,2014 ,        1 ,        1 ,90
      360 ,        30 ,2013 ,        1 ,        1 ,90
      361 ,        31 ,2024 ,        7 ,        5 ,23
      362 ,        31 ,2023 ,        7 ,        5 ,24
      363 ,        31 ,2022 ,        7 ,        5 ,24
      364 ,        31 ,2021 ,        7 ,        5 ,24
      365 ,        31 ,2020 ,        7 ,        5 ,25
      366 ,        31 ,2019 ,        6 ,        5 ,26
      367 ,        31 ,2018 ,        6 ,        5 ,30
      368 ,        31 ,2017 ,        6 ,        5 ,31
      369 ,        31 ,2016 ,        6 ,        5 ,32
      370 ,        31 ,2015 ,        6 ,        5 ,31
      371 ,        31 ,2014 ,        6 ,        5 ,30
      372 ,        31 ,2013 ,        6 ,        5 ,29
      373 ,        32 ,2024 ,        6 ,        6 ,15
      374 ,        32 ,2023 ,        6 ,        6 ,15
      375 ,        32 ,2022 ,        6 ,        6 ,15
      376 ,        32 ,2021 ,        6 ,        6 ,16
      377 ,        32 ,2020 ,        6 ,        6 ,18
      378 ,        32 ,2019 ,        6 ,        6 ,19
      379 ,        32 ,2018 ,        6 ,        6 ,22
      380 ,        32 ,2017 ,        6 ,        6 ,24
      381 ,        32 ,2016 ,        6 ,        6 ,24
      382 ,        32 ,2015 ,        6 ,        6 ,25
      383 ,        32 ,2014 ,        6 ,        6 ,24
      384 ,        32 ,2013 ,        6 ,        6 ,23
      385 ,        33 ,2024 ,        1 ,        1 ,97
      386 ,        33 ,2023 ,        1 ,        1 ,98
      387 ,        33 ,2022 ,        1 ,        1 ,98
      388 ,        33 ,2021 ,        1 ,        1 ,98
      389 ,        33 ,2020 ,        1 ,        1 ,98
      390 ,        33 ,2019 ,        1 ,        1 ,99
      391 ,        33 ,2018 ,        1 ,        1 ,99
      392 ,        33 ,2017 ,        1 ,        1 ,99
      393 ,        33 ,2016 ,        1 ,        1 ,99
      394 ,        33 ,2015 ,        1 ,        1 ,98
      395 ,        33 ,2014 ,        1 ,        1 ,98
      396 ,        33 ,2013 ,        1 ,        1 ,98
      397 ,        34 ,2024 ,        7 ,        7 ,5
      398 ,        34 ,2023 ,        7 ,        7 ,7
      399 ,        34 ,2022 ,        7 ,        7 ,7
      400 ,        34 ,2021 ,        7 ,        7 ,9
      401 ,        34 ,2020 ,        7 ,        7 ,10
      402 ,        34 ,2019 ,        7 ,        7 ,9
      403 ,        34 ,2018 ,        7 ,        7 ,9
      404 ,        34 ,2017 ,        7 ,        7 ,10
      405 ,        34 ,2016 ,        7 ,        7 ,7
      406 ,        34 ,2015 ,        7 ,        7 ,6
      407 ,        34 ,2014 ,        7 ,        7 ,6
      408 ,        34 ,2013 ,        5 ,        5 ,35
      409 ,        35 ,2024 ,        7 ,        6 ,15
      410 ,        35 ,2023 ,        7 ,        6 ,15
      411 ,        35 ,2022 ,        7 ,        6 ,15
      412 ,        35 ,2021 ,        7 ,        6 ,17
      413 ,        35 ,2020 ,        7 ,        6 ,17
      414 ,        35 ,2019 ,        7 ,        6 ,17
      415 ,        35 ,2018 ,        7 ,        6 ,18
      416 ,        35 ,2017 ,        7 ,        6 ,18
      417 ,        35 ,2016 ,        7 ,        6 ,20
      418 ,        35 ,2015 ,        7 ,        6 ,21
      419 ,        35 ,2014 ,        7 ,        6 ,21
      420 ,        35 ,2013 ,        7 ,        6 ,21
      421 ,        36 ,2024 ,        1 ,        1 ,94
      422 ,        36 ,2023 ,        1 ,        1 ,94
      423 ,        36 ,2022 ,        1 ,        1 ,94
      424 ,        36 ,2021 ,        1 ,        1 ,93
      425 ,        36 ,2020 ,        1 ,        2 ,90
      426 ,        36 ,2019 ,        1 ,        1 ,94
      427 ,        36 ,2018 ,        1 ,        1 ,94
      428 ,        36 ,2017 ,        1 ,        1 ,94
      429 ,        36 ,2016 ,        1 ,        1 ,95
      430 ,        36 ,2015 ,        1 ,        1 ,95
      431 ,        36 ,2014 ,        1 ,        1 ,95
      432 ,        36 ,2013 ,        1 ,        1 ,96
      433 ,        37 ,2024 ,        7 ,        6 ,9
      434 ,        37 ,2023 ,        7 ,        6 ,9
      435 ,        37 ,2022 ,        7 ,        6 ,9
      436 ,        37 ,2021 ,        7 ,        6 ,9
      437 ,        37 ,2020 ,        7 ,        6 ,10
      438 ,        37 ,2019 ,        7 ,        6 ,11
      439 ,        37 ,2018 ,        7 ,        6 ,14
      440 ,        37 ,2017 ,        7 ,        6 ,15
      441 ,        37 ,2016 ,        7 ,        6 ,16
      442 ,        37 ,2015 ,        7 ,        6 ,17
      443 ,        37 ,2014 ,        7 ,        6 ,17
      444 ,        37 ,2013 ,        7 ,        6 ,17
      445 ,        38 ,2024 ,        2 ,        3 ,70
      446 ,        38 ,2023 ,        2 ,        3 ,70
      447 ,        38 ,2022 ,        3 ,        3 ,64
      448 ,        38 ,2021 ,        3 ,        3 ,65
      449 ,        38 ,2020 ,        3 ,        3 ,66
      450 ,        38 ,2019 ,        3 ,        3 ,66
      451 ,        38 ,2018 ,        3 ,        3 ,65
      452 ,        38 ,2017 ,        3 ,        3 ,64
      453 ,        38 ,2016 ,        3 ,        4 ,63
      454 ,        38 ,2015 ,        3 ,        4 ,63
      455 ,        38 ,2014 ,        3 ,        4 ,62
      456 ,        38 ,2013 ,        3 ,        4 ,61
      457 ,        39 ,2024 ,        5 ,        4 ,42
      458 ,        39 ,2023 ,        5 ,        4 ,42
      459 ,        39 ,2022 ,        5 ,        4 ,42
      460 ,        39 ,2021 ,        5 ,        4 ,42
      461 ,        39 ,2020 ,        4 ,        4 ,44
      462 ,        39 ,2019 ,        4 ,        4 ,50
      463 ,        39 ,2018 ,        3 ,        4 ,55
      464 ,        39 ,2017 ,        3 ,        4 ,55
      465 ,        39 ,2016 ,        3 ,        4 ,55
      466 ,        39 ,2015 ,        3 ,        4 ,55
      467 ,        39 ,2014 ,        3 ,        4 ,55
      468 ,        39 ,2013 ,        3 ,        4 ,55
      469 ,        40 ,2024 ,        7 ,        6 ,17
      470 ,        40 ,2023 ,        7 ,        6 ,17
      471 ,        40 ,2022 ,        7 ,        6 ,17
      472 ,        40 ,2021 ,        7 ,        5 ,20
      473 ,        40 ,2020 ,        7 ,        5 ,20
      474 ,        40 ,2019 ,        7 ,        5 ,21
      475 ,        40 ,2018 ,        7 ,        5 ,21
      476 ,        40 ,2017 ,        7 ,        5 ,27
      477 ,        40 ,2016 ,        6 ,        5 ,28
      478 ,        40 ,2015 ,        6 ,        5 ,30
      479 ,        40 ,2014 ,        6 ,        5 ,30
      480 ,        40 ,2013 ,        6 ,        5 ,29
      481 ,        41 ,2024 ,        7 ,        6 ,19
      482 ,        41 ,2023 ,        7 ,        6 ,19
      483 ,        41 ,2022 ,        7 ,        6 ,19
      484 ,        41 ,2021 ,        7 ,        6 ,20
      485 ,        41 ,2020 ,        7 ,        6 ,18
      486 ,        41 ,2019 ,        7 ,        6 ,15
      487 ,        41 ,2018 ,        7 ,        6 ,17
      488 ,        41 ,2017 ,        7 ,        6 ,19
      489 ,        41 ,2016 ,        6 ,        6 ,25
      490 ,        41 ,2015 ,        6 ,        6 ,25
      491 ,        41 ,2014 ,        6 ,        6 ,20
      492 ,        41 ,2013 ,        6 ,        6 ,20
      493 ,        42 ,2024 ,        1 ,        1 ,91
      494 ,        42 ,2023 ,        1 ,        1 ,91
      495 ,        42 ,2022 ,        1 ,        1 ,91
      496 ,        42 ,2021 ,        1 ,        1 ,91
      497 ,        42 ,2020 ,        1 ,        1 ,91
      498 ,        42 ,2019 ,        1 ,        1 ,91
      499 ,        42 ,2018 ,        1 ,        1 ,91
      500 ,        42 ,2017 ,        1 ,        1 ,91
      501 ,        42 ,2016 ,        1 ,        1 ,90
      502 ,        42 ,2015 ,        1 ,        1 ,90
      503 ,        42 ,2014 ,        1 ,        1 ,90
      504 ,        42 ,2013 ,        1 ,        1 ,91
      505 ,        43 ,2024 ,        4 ,        4 ,49
      506 ,        43 ,2023 ,        4 ,        4 ,49
      507 ,        43 ,2022 ,        4 ,        4 ,49
      508 ,        43 ,2021 ,        5 ,        4 ,44
      509 ,        43 ,2020 ,        4 ,        4 ,51
      510 ,        43 ,2019 ,        4 ,        4 ,51
      511 ,        43 ,2018 ,        4 ,        4 ,51
      512 ,        43 ,2017 ,        4 ,        4 ,52
      513 ,        43 ,2016 ,        4 ,        4 ,51
      514 ,        43 ,2015 ,        5 ,        4 ,46
      515 ,        43 ,2014 ,        5 ,        4 ,45
